Type,Condition,Item,Sentence,CompQ,CompQAns,Error Type,Edits
Expt,POToPlaus,101,The sister mailed the letter to the niece.,Did the niece receive something? ,Yes,Deletion,0
Expt,POToPlaus,102,The mother gave the candle to the daughter.,Did the daughter receive something? ,Yes,Deletion,0
Expt,POToPlaus,103,The uncle sold the truck to the father.,Did the father receive something? ,Yes,Deletion,0
Expt,POToPlaus,104,The contractor lent the saw to the homeowner.,Did the homeowner receive something? ,Yes,Deletion,0
Expt,POToPlaus,105,The sailing club leased the boat to the man.,Did the man receive something?,Yes,Deletion,0
Expt,POToPlaus,106,The girl tossed the apple to the boy.,Did the apple receive someone? ,No,Deletion,0
Expt,POToPlaus,107,The daughter passed the bowl to the mother.,Did the bowl receive someone? ,No,Deletion,0
Expt,POToPlaus,108,The scuba instructor rented the equipment to the tourist.,Did the equipment receive someone? ,No,Deletion,0
Expt,POToPlaus,109,The boy handed the pencil to the girl.,Did the pencil receive someone? ,No,Deletion,0
Expt,POToPlaus,110,The nanny threw the toy to the child.,Did the toy receive someone? ,No,Deletion,0
Expt,POToPlaus,111,The nephew mailed the postcard to the aunt.,Did the postcard receive someone? ,No,Deletion,0
Expt,POToPlaus,112,The father gave the car to the son.,Did the car receive someone? ,No,Deletion,0
Expt,POToPlaus,113,The shop sold the bike to the student.,Did the bike receive someone? ,No,Deletion,0
Expt,POToPlaus,114,The janitor lent the mop to the teacher.,Did the mop receive someone? ,No,Deletion,0
Expt,POToPlaus,115,The car dealer leased the SUV to the plumber.,Did the SUV receive someone? ,No,Deletion,0
Expt,POToPlaus,116,The host tossed the microphone to the contestant.,Did the contestant receive something? ,Yes,Deletion,0
Expt,POToPlaus,117,The quarterback passed the ball to the receiver.,Did the receiver receive something? ,Yes,Deletion,0
Expt,POToPlaus,118,The videostore rented the DVD to the customer.,Did the customer receive something? ,Yes,Deletion,0
Expt,POToPlaus,119,The bartender handed the drink to the lady.,Did the lady receive something? ,Yes,Deletion,0
Expt,POToPlaus,120,The magician threw the hat to the assistant.,Did the assistant receive something? ,Yes,Deletion,0
Expt,DOToPlaus,121,The sister mailed the niece the letter.,Did the niece receive something? ,Yes,Insertion,0
Expt,DOToPlaus,122,The mother gave the daughter the candle.,Did the daughter receive something? ,Yes,Insertion,0
Expt,DOToPlaus,123,The uncle sold the father the truck.,Did the father receive something? ,Yes,Insertion,0
Expt,DOToPlaus,124,The contractor lent the homeowner the saw.,Did the homeowner receive something? ,Yes,Insertion,0
Expt,DOToPlaus,125,The sailing club leased the man the boat.,Did the man receive something? ,Yes,Insertion,0
Expt,DOToPlaus,126,The girl tossed the boy the apple.,"Did the apple receive someone?
",No,Insertion,0
Expt,DOToPlaus,127,The daughter passed the mother the bowl.,Did the bowl receive someone? ,No,Insertion,0
Expt,DOToPlaus,128,The scuba instructor rented the tourist the equipment.,Did the equipment receive someone? ,No,Insertion,0
Expt,DOToPlaus,129,The boy handed the girl the pencil.,Did the pencil receive someone? ,No,Insertion,0
